query_id,Qwen3-8B,Intern-S1-mini,MiniCPM4.1-8B,Qwen2.5-Coder-7B-Instruct,Llama-3.1-8B-Instruct,DeepSeek-R1-Distill-Qwen-7B
math500:test:6,1.0,1.0,1.0,0.0,0.0,1.0
math500:test:7,1.0,1.0,1.0,1.0,0.0,1.0
math500:test:8,1.0,1.0,1.0,0.0,0.0,1.0
math500:test:9,1.0,1.0,1.0,1.0,1.0,1.0
math500:test:13,1.0,1.0,1.0,1.0,0.0,1.0
math500:test:16,1.0,1.0,1.0,0.0,0.0,1.0
math500:test:24,1.0,1.0,1.0,1.0,1.0,1.0
math500:test:43,1.0,1.0,1.0,1.0,1.0,1.0
math500:test:46,1.0,1.0,1.0,1.0,1.0,1.0
math500:test:50,1.0,1.0,1.0,1.0,1.0,1.0
math500:test:58,1.0,1.0,1.0,1.0,1.0,1.0
math500:test:61,1.0,1.0,1.0,0.0,0.0,1.0
math500:test:69,1.0,1.0,1.0,0.0,0.0,1.0
math500:test:71,1.0,1.0,1.0,1.0,0.0,0.0
math500:test:77,1.0,1.0,1.0,1.0,0.0,0.0
math500:test:84,1.0,1.0,1.0,1.0,0.0,1.0
math500:test:85,1.0,1.0,1.0,1.0,1.0,1.0
math500:test:92,1.0,0.0,1.0,0.0,0.0,1.0
math500:test:95,0.0,0.0,0.0,0.0,0.0,0.0
math500:test:99,1.0,1.0,1.0,1.0,1.0,1.0
math500:test:100,1.0,1.0,1.0,1.0,0.0,1.0
math500:test:102,1.0,1.0,1.0,0.0,0.0,0.0
math500:test:104,1.0,1.0,1.0,0.0,0.0,0.0
math500:test:109,1.0,1.0,1.0,1.0,1.0,0.0
math500:test:110,1.0,1.0,1.0,0.0,0.0,1.0
math500:test:124,1.0,1.0,1.0,1.0,0.0,1.0
math500:test:129,1.0,1.0,1.0,1.0,1.0,1.0
aime:hybrid:4,1.0,1.0,1.0,0.0,0.0,1.0
aime:hybrid:16,1.0,1.0,1.0,0.0,0.0,0.0
aime:hybrid:17,1.0,1.0,0.0,0.0,0.0,0.0
aime:hybrid:18,0.0,0.0,0.0,0.0,0.0,0.0
aime:hybrid:22,1.0,1.0,0.0,0.0,0.0,0.0
aime:hybrid:27,0.0,1.0,0.0,0.0,0.0,0.0
aime:hybrid:30,1.0,1.0,1.0,0.0,0.0,1.0
aime:hybrid:31,1.0,1.0,1.0,1.0,0.0,1.0
aime:hybrid:34,1.0,1.0,1.0,0.0,0.0,1.0
aime:hybrid:36,1.0,1.0,1.0,0.0,0.0,1.0
aime:hybrid:37,0.0,1.0,0.0,0.0,0.0,0.0
aime:hybrid:39,1.0,1.0,0.0,0.0,0.0,0.0
aime:hybrid:44,0.0,0.0,0.0,0.0,0.0,0.0
aime:hybrid:53,1.0,1.0,0.0,0.0,0.0,0.0
