state_label,Qwen3-8B,Intern-S1-mini,MiniCPM4.1-8B,Qwen2.5-Coder-7B-Instruct,Llama-3.1-8B-Instruct,DeepSeek-R1-Distill-Qwen-7B
z0,0.6733333333333333,0.5333333333333333,0.54,0.6066666666666667,0.48,0.5266666666666666
z1,0.7222222222222222,0.5555555555555556,0.7222222222222222,0.5,0.4444444444444444,0.6111111111111112
z2,0.6063829787234043,0.5638297872340425,0.4042553191489361,0.8085106382978723,0.7553191489361702,0.6702127659574468
z3,0.7222222222222222,0.5833333333333334,0.5833333333333334,0.5,0.6111111111111112,0.4166666666666667
z4,0.7358490566037735,0.7169811320754716,0.7735849056603774,0.5094339622641509,0.5283018867924528,0.660377358490566
z5,0.8111111111111111,0.7333333333333333,0.7555555555555555,0.4,0.4333333333333333,0.5888888888888889
z6,0.5333333333333333,0.4666666666666667,0.4,0.6,0.4,0.2666666666666666
z7,0.75,0.625,0.75,0.4375,0.5,0.5
z8,0.6030534351145038,0.4809160305343511,0.3893129770992366,0.7480916030534351,0.6564885496183206,0.5877862595419847
z9,0.7419354838709677,0.6516129032258065,0.7354838709677419,0.5548387096774193,0.4774193548387097,0.5870967741935483
z10,0.6212121212121212,0.4606060606060606,0.5696969696969697,0.3515151515151515,0.3333333333333333,0.396969696969697
z11,0.8571428571428571,0.8204081632653061,0.9020408163265308,0.6081632653061224,0.5020408163265306,0.7795918367346939
z12,0.8125,0.6875,0.6875,0.5,0.3125,0.6875
z13,0.7,0.5666666666666667,0.7,0.3666666666666666,0.4333333333333333,0.6
z14,0.54,0.4371428571428571,0.2885714285714286,0.74,0.5428571428571428,0.4942857142857143
z15,0.6666666666666666,0.5555555555555556,0.7777777777777778,0.8888888888888888,0.5555555555555556,0.7777777777777778
