comparison_family,method,budget,n_rows,mean_utility,mean_quality,regret_to_full_calibration,n_new_model_evals,frontier_call_rate,remote_cost_per_1k_queries,training_time_s,new_model_selection_rate,direct_router_mean_utility,utility_delta_vs_direct_retrain
frozen_state_calibration_aware,calibration_aware_route_state,20,27,0.6774080439158771,0.7258828596037898,0.06212148224275144,20.0,0.3703703703703703,0.9987809000861314,0.0,0.24827734711455637,0.657968138821153,0.01943990509472404
direct_router_retrain_proxy,direct_probe_regressor_retrain,20,27,0.657968138821153,0.7219489651490195,0.006444871841249111,20.0,0.42989130161032785,1.3182685978512156,0.03441926874047901,0.12620321259652142,0.657968138821153,0.0
random_query_state_calibration,random_query_route_state_calibration,20,27,0.6497868677657755,0.7575366063738157,0.022536844248123564,20.0,0.5271317829457364,2.2200885012919866,0.0,0.17678725236864767,0.657968138821153,-0.00818127105537747
frozen_state_active,active_route_state_calibration,20,27,0.6357858461100145,0.7454780361757106,0.03653786590388446,20.0,0.5247631352282515,2.2601110034453034,0.0,0.22372954349698534,0.657968138821153,-0.022182292711138474
frozen_state_uniform,uniform_route_state_calibration,20,27,0.6355972531117521,0.7353574504737296,0.03672645890214704,20.0,0.5038759689922481,2.055471037898361,0.0,0.28208440999138673,0.657968138821153,-0.022370885709400934
dataset_stratified_calibration,dataset_stratified_calibration,20,27,0.6143421459683112,0.704349698535745,0.05077807541735016,20.0,0.4961240310077519,1.8545263781223067,0.0,0.3092161929371231,0.657968138821153,-0.043625992852841855
embedding_cluster_calibration,embedding_cluster_calibration,20,27,0.5843520809140714,0.7217915590008613,0.01977602567835073,20.0,0.727390180878553,2.8318194444444424,0.0,0.18626184323858738,0.657968138821153,-0.07361605790708159
frozen_state_calibration_aware,calibration_aware_route_state,40,27,0.690804332944596,0.7394487510766581,0.04872519321403241,40.0,0.38113695090439276,1.002275409130059,0.0,0.18733850129198965,0.6636842841801008,0.02712004876449514
random_query_state_calibration,random_query_route_state_calibration,40,27,0.6664740894621055,0.7704565030146425,0.005849622551793497,40.0,0.5198105081826012,2.142466085271315,0.0,0.175495262704565,0.6636842841801008,0.002789805282004676
direct_router_retrain_proxy,direct_probe_regressor_retrain,40,27,0.6636842841801008,0.7247495353370506,0.0007287264823012036,40.0,0.42902871591842073,1.2581957383229807,0.03476521729586503,0.1479567422719877,0.6636842841801008,0.0
frozen_state_uniform,uniform_route_state_calibration,40,27,0.66014811556217,0.7674418604651163,0.01217559645172903,40.0,0.5318690783807063,2.2106931524547773,0.0,0.18518518518518515,0.6636842841801008,-0.003536168617930824
frozen_state_active,active_route_state_calibration,40,27,0.6427394007019318,0.7527993109388459,0.029584311311967277,40.0,0.5170111972437553,2.2676875538329004,0.0,0.21748492678725237,0.6636842841801008,-0.02094488347816903
dataset_stratified_calibration,dataset_stratified_calibration,40,27,0.6352441112527824,0.7280361757105943,0.02987611013287895,40.0,0.5150732127476313,1.9118987941429781,0.0,0.22997416020671832,0.6636842841801008,-0.028440172927318486
embedding_cluster_calibration,embedding_cluster_calibration,40,27,0.5877017208400535,0.7237295434969854,0.01642638575236865,40.0,0.7230835486649441,2.802733527131781,0.0,0.14599483204134364,0.6636842841801008,-0.07598256334004738
frozen_state_calibration_aware,calibration_aware_route_state,80,27,0.7235847354331332,0.7650732127476313,0.015944790725495303,80.0,0.3766149870801033,0.8548335486649425,0.0,0.12230835486649437,0.6667808454838215,0.056803889949311626
random_query_state_calibration,random_query_route_state_calibration,80,27,0.6715317393288847,0.7838070628768302,0.0007919726850144961,80.0,0.5488802756244616,2.313334194659773,0.0,0.13027562446167096,0.6667808454838215,0.004750893845063109
frozen_state_active,active_route_state_calibration,80,27,0.6699135321734643,0.7792850990525408,0.0024101798404347736,80.0,0.535099052540913,2.2535048449612374,0.0,0.1498708010335917,0.6667808454838215,0.0031326866896427275
frozen_state_uniform,uniform_route_state_calibration,80,27,0.6697821982025941,0.7797157622739017,0.0025415138113050106,80.0,0.5439276485788114,2.2650843023255782,0.0,0.0863479758828596,0.6667808454838215,0.003001352718772554
direct_router_retrain_proxy,direct_probe_regressor_retrain,80,27,0.6667808454838215,0.7310508182601205,-0.0023678348214194256,80.0,0.42506459948320413,1.3242262058570182,0.03573923274072711,0.15676141257536602,0.6667808454838215,0.0
dataset_stratified_calibration,dataset_stratified_calibration,80,27,0.6498601736653066,0.75,0.015260047720354756,80.0,0.5469422911283376,2.0632929586563287,0.0,0.18001722652885443,0.6667808454838215,-0.016920671818514976
embedding_cluster_calibration,embedding_cluster_calibration,80,27,0.6022049457790322,0.742248062015504,0.0019231608133899814,80.0,0.7446167097329889,2.885465116279067,0.0,0.09668389319552109,0.6667808454838215,-0.06457589970478939
frozen_state_calibration_aware,calibration_aware_route_state,160,27,0.7335135769819273,0.7758397932816538,0.006015949176701178,160.0,0.3766149870801033,0.8720944229112817,0.0,0.13070628768303183,0.6699369784569951,0.06357659852493225
random_query_state_calibration,random_query_route_state_calibration,160,27,0.6752224224774538,0.7846683893195521,-0.0028987104635546817,160.0,0.5523255813953488,2.2550377906976715,0.0,0.1089577950043066,0.6699369784569951,0.005285444020458718
frozen_state_active,active_route_state_calibration,160,27,0.6731043430584293,0.7818690783807063,-0.0007806310445302298,160.0,0.535099052540913,2.2410016149870775,0.0,0.13307493540051676,0.6699369784569951,0.003167364601434186
frozen_state_uniform,uniform_route_state_calibration,160,27,0.6728142552513632,0.785099052540913,-0.0004905432374641409,160.0,0.5523255813953488,2.313529392764855,0.0,0.09388458225667527,0.6699369784569951,0.002877276794368111
direct_router_retrain_proxy,direct_probe_regressor_retrain,160,27,0.6699369784569951,0.7306201550387597,-0.0055239677945929,160.0,0.4328165374677002,1.2503234280792404,0.03411453577805159,0.13113695090439273,0.6699369784569951,0.0
dataset_stratified_calibration,dataset_stratified_calibration,160,27,0.6577936983259549,0.7590439276485789,0.007326523059706425,160.0,0.5555555555555556,2.0861718346253206,0.0,0.15417743324720068,0.6699369784569951,-0.012143280131040157
embedding_cluster_calibration,embedding_cluster_calibration,160,27,0.6022287069089707,0.7334194659776054,0.0018993996834514334,160.0,0.7349267872523687,2.703070090439274,0.0,0.13522825150732126,0.6699369784569951,-0.06770827154802439
frozen_state_calibration_aware,calibration_aware_route_state,320,27,0.7394685762792933,0.7799310938845823,6.094987933507034e-05,320.0,0.3845822566752799,0.8336945521102481,0.0,0.10615848406546079,0.6658013342304693,0.07366724204882402
frozen_state_active,active_route_state_calibration,320,27,0.674125403916554,0.7868217054263565,-0.0018016919026548148,320.0,0.5523255813953488,2.3220080749353977,0.0,0.10874246339362616,0.6658013342304693,0.008324069686084679
frozen_state_uniform,uniform_route_state_calibration,320,27,0.6739492355811152,0.7872523686477174,-0.0016255235672160777,320.0,0.5523255813953488,2.3345113049095576,0.0,0.09302325581395347,0.6658013342304693,0.008147901350645914
random_query_state_calibration,random_query_route_state_calibration,320,27,0.6739492355811152,0.7872523686477174,-0.0016255235672160777,320.0,0.5523255813953488,2.3345113049095576,0.0,0.11993970714900946,0.6658013342304693,0.008147901350645914
direct_router_retrain_proxy,direct_probe_regressor_retrain,320,27,0.6658013342304693,0.7282515073212747,-0.001388323568067174,320.0,0.43949181739879406,1.2867308354866478,0.0348953387403054,0.11132644272179151,0.6658013342304693,0.0
dataset_stratified_calibration,dataset_stratified_calibration,320,27,0.6621202324747267,0.7702411714039621,0.0029999889109345182,320.0,0.5770887166236004,2.2277367571059408,0.0,0.12833763996554692,0.6658013342304693,-0.003681101755742544
embedding_cluster_calibration,embedding_cluster_calibration,320,27,0.6035300959257703,0.7444013781223083,0.000598010666651863,320.0,0.750430663221361,2.902528746770023,0.0,0.11111111111111109,0.6658013342304693,-0.06227123830469894
frozen_state_calibration_aware,calibration_aware_route_state,640,27,0.7395295261586284,0.7790697674418605,0.0,510.55555555555554,0.38372093023255816,0.8146918604651148,0.0,0.10400516795865632,0.6636797769356672,0.07584974922296128
frozen_state_active,active_route_state_calibration,640,27,0.6723237120138991,0.7906976744186046,0.0,510.55555555555554,0.5523255813953488,2.4389912790697643,0.0,0.10400516795865633,0.6636797769356672,0.008643935078231912
frozen_state_uniform,uniform_route_state_calibration,640,27,0.6723237120138991,0.7906976744186046,0.0,510.55555555555554,0.5523255813953488,2.4389912790697643,0.0,0.10400516795865633,0.6636797769356672,0.008643935078231912
random_query_state_calibration,random_query_route_state_calibration,640,27,0.6723237120138991,0.7906976744186046,0.0,510.55555555555554,0.5523255813953488,2.4389912790697643,0.0,0.10400516795865633,0.6636797769356672,0.008643935078231912
dataset_stratified_calibration,dataset_stratified_calibration,640,27,0.6651202213856613,0.7739018087855298,0.0,510.55555555555554,0.5813953488372093,2.2413488372093,0.0,0.09819121447028421,0.6636797769356672,0.0014404444499941382
direct_router_retrain_proxy,direct_probe_regressor_retrain,640,27,0.6636797769356672,0.7267441860465117,0.0007332337267349555,516.0,0.4418604651162791,1.2993866279069752,0.03459722392559608,0.11111111111111106,0.6636797769356672,0.0
embedding_cluster_calibration,embedding_cluster_calibration,640,27,0.6041281065924222,0.7506459948320413,0.0,510.55555555555554,0.7616279069767442,3.018872093023253,0.0,0.09819121447028423,0.6636797769356672,-0.059551670343244933
