group_method,split,k,classifier,feature_view,n_queries,n_features,oracle_cluster_accuracy,oracle_cluster_adjusted_rand
predicted_utility_state_rf_probe_only_k4,test,4,rf,probe_only,170,84,0.7941176470588235,0.5439841485114708
predicted_utility_state_rf_probe_only_k4,train,4,rf,probe_only,492,84,0.9186991869918699,0.7934842482509891
predicted_utility_state_rf_probe_only_k4,val,4,rf,probe_only,152,84,0.7697368421052632,0.46170980756035834
predicted_utility_state_extratrees_probe_only_k4,test,4,extratrees,probe_only,170,84,0.7647058823529411,0.4867240601915646
predicted_utility_state_extratrees_probe_only_k4,train,4,extratrees,probe_only,492,84,0.9451219512195121,0.8627693222625618
predicted_utility_state_extratrees_probe_only_k4,val,4,extratrees,probe_only,152,84,0.7763157894736842,0.48277440953165884
predicted_utility_state_rf_probe_plus_benchmark_k4,test,4,rf,probe_plus_benchmark,170,99,0.788235294117647,0.5380213682160737
predicted_utility_state_rf_probe_plus_benchmark_k4,train,4,rf,probe_plus_benchmark,492,99,0.9105691056910569,0.7763158625983053
predicted_utility_state_rf_probe_plus_benchmark_k4,val,4,rf,probe_plus_benchmark,152,99,0.7697368421052632,0.4669286264887195
predicted_utility_state_extratrees_probe_plus_benchmark_k4,test,4,extratrees,probe_plus_benchmark,170,99,0.7705882352941177,0.49734118596867777
predicted_utility_state_extratrees_probe_plus_benchmark_k4,train,4,extratrees,probe_plus_benchmark,492,99,0.9471544715447154,0.8720177487730787
predicted_utility_state_extratrees_probe_plus_benchmark_k4,val,4,extratrees,probe_plus_benchmark,152,99,0.7763157894736842,0.49442641108221547
predicted_utility_state_rf_probe_only_k6,test,6,rf,probe_only,170,84,0.6764705882352942,0.3626967723610753
predicted_utility_state_rf_probe_only_k6,train,6,rf,probe_only,492,84,0.8414634146341463,0.6530490300872076
predicted_utility_state_rf_probe_only_k6,val,6,rf,probe_only,152,84,0.7039473684210527,0.3945598929512991
predicted_utility_state_extratrees_probe_only_k6,test,6,extratrees,probe_only,170,84,0.6705882352941176,0.3697555971761617
predicted_utility_state_extratrees_probe_only_k6,train,6,extratrees,probe_only,492,84,0.9065040650406504,0.787064384272938
predicted_utility_state_extratrees_probe_only_k6,val,6,extratrees,probe_only,152,84,0.7171052631578947,0.42339448669390434
predicted_utility_state_rf_probe_plus_benchmark_k6,test,6,rf,probe_plus_benchmark,170,99,0.6823529411764706,0.3643384339076728
predicted_utility_state_rf_probe_plus_benchmark_k6,train,6,rf,probe_plus_benchmark,492,99,0.8394308943089431,0.652767078390271
predicted_utility_state_rf_probe_plus_benchmark_k6,val,6,rf,probe_plus_benchmark,152,99,0.7171052631578947,0.4162600490743103
predicted_utility_state_extratrees_probe_plus_benchmark_k6,test,6,extratrees,probe_plus_benchmark,170,99,0.6705882352941176,0.3681636122784452
predicted_utility_state_extratrees_probe_plus_benchmark_k6,train,6,extratrees,probe_plus_benchmark,492,99,0.8983739837398373,0.7678982606758536
predicted_utility_state_extratrees_probe_plus_benchmark_k6,val,6,extratrees,probe_plus_benchmark,152,99,0.7302631578947368,0.4467534037729034
predicted_utility_state_rf_probe_only_k8,test,8,rf,probe_only,170,84,0.6764705882352942,0.3933614604548435
predicted_utility_state_rf_probe_only_k8,train,8,rf,probe_only,492,84,0.8577235772357723,0.6760057353768083
predicted_utility_state_rf_probe_only_k8,val,8,rf,probe_only,152,84,0.6776315789473685,0.37853897954351357
predicted_utility_state_extratrees_probe_only_k8,test,8,extratrees,probe_only,170,84,0.6352941176470588,0.35399026004044865
predicted_utility_state_extratrees_probe_only_k8,train,8,extratrees,probe_only,492,84,0.9004065040650406,0.7658675402176378
predicted_utility_state_extratrees_probe_only_k8,val,8,extratrees,probe_only,152,84,0.625,0.3416156089962095
predicted_utility_state_rf_probe_plus_benchmark_k8,test,8,rf,probe_plus_benchmark,170,99,0.6882352941176471,0.41309061689551496
predicted_utility_state_rf_probe_plus_benchmark_k8,train,8,rf,probe_plus_benchmark,492,99,0.8495934959349594,0.6604404358920729
predicted_utility_state_rf_probe_plus_benchmark_k8,val,8,rf,probe_plus_benchmark,152,99,0.6776315789473685,0.37529837010548794
predicted_utility_state_extratrees_probe_plus_benchmark_k8,test,8,extratrees,probe_plus_benchmark,170,99,0.6647058823529411,0.3720013973029743
predicted_utility_state_extratrees_probe_plus_benchmark_k8,train,8,extratrees,probe_plus_benchmark,492,99,0.8902439024390244,0.7464586689959111
predicted_utility_state_extratrees_probe_plus_benchmark_k8,val,8,extratrees,probe_plus_benchmark,152,99,0.6381578947368421,0.34512814967278094
predicted_utility_state_rf_probe_only_k12,test,12,rf,probe_only,170,84,0.5882352941176471,0.3213171737505871
predicted_utility_state_rf_probe_only_k12,train,12,rf,probe_only,492,84,0.8109756097560976,0.5937425206298935
predicted_utility_state_rf_probe_only_k12,val,12,rf,probe_only,152,84,0.5723684210526315,0.33079671937694144
predicted_utility_state_extratrees_probe_only_k12,test,12,extratrees,probe_only,170,84,0.5705882352941176,0.30461838439934447
predicted_utility_state_extratrees_probe_only_k12,train,12,extratrees,probe_only,492,84,0.8678861788617886,0.6901237671531766
predicted_utility_state_extratrees_probe_only_k12,val,12,extratrees,probe_only,152,84,0.5526315789473685,0.29926768180538743
predicted_utility_state_rf_probe_plus_benchmark_k12,test,12,rf,probe_plus_benchmark,170,99,0.6,0.3123352471175135
predicted_utility_state_rf_probe_plus_benchmark_k12,train,12,rf,probe_plus_benchmark,492,99,0.8028455284552846,0.582747478243925
predicted_utility_state_rf_probe_plus_benchmark_k12,val,12,rf,probe_plus_benchmark,152,99,0.5855263157894737,0.3368173762283141
predicted_utility_state_extratrees_probe_plus_benchmark_k12,test,12,extratrees,probe_plus_benchmark,170,99,0.5941176470588235,0.32435389631704487
predicted_utility_state_extratrees_probe_plus_benchmark_k12,train,12,extratrees,probe_plus_benchmark,492,99,0.8556910569105691,0.6663366290132247
predicted_utility_state_extratrees_probe_plus_benchmark_k12,val,12,extratrees,probe_plus_benchmark,152,99,0.5855263157894737,0.3204789704092856
predicted_utility_state_rf_probe_only_k16,test,16,rf,probe_only,170,84,0.5764705882352941,0.35222766776227293
predicted_utility_state_rf_probe_only_k16,train,16,rf,probe_only,492,84,0.7987804878048781,0.5502372378993818
predicted_utility_state_rf_probe_only_k16,val,16,rf,probe_only,152,84,0.5526315789473685,0.36982292959594215
predicted_utility_state_extratrees_probe_only_k16,test,16,extratrees,probe_only,170,84,0.5647058823529412,0.3015264503894785
predicted_utility_state_extratrees_probe_only_k16,train,16,extratrees,probe_only,492,84,0.8617886178861789,0.6524654964051473
predicted_utility_state_extratrees_probe_only_k16,val,16,extratrees,probe_only,152,84,0.5460526315789473,0.3049050811611889
predicted_utility_state_rf_probe_plus_benchmark_k16,test,16,rf,probe_plus_benchmark,170,99,0.5941176470588235,0.35848291945172284
predicted_utility_state_rf_probe_plus_benchmark_k16,train,16,rf,probe_plus_benchmark,492,99,0.7886178861788617,0.5317586041788327
predicted_utility_state_rf_probe_plus_benchmark_k16,val,16,rf,probe_plus_benchmark,152,99,0.5657894736842105,0.35748517405330726
predicted_utility_state_extratrees_probe_plus_benchmark_k16,test,16,extratrees,probe_plus_benchmark,170,99,0.5705882352941176,0.31834397612046256
predicted_utility_state_extratrees_probe_plus_benchmark_k16,train,16,extratrees,probe_plus_benchmark,492,99,0.8475609756097561,0.6294218974214603
predicted_utility_state_extratrees_probe_plus_benchmark_k16,val,16,extratrees,probe_plus_benchmark,152,99,0.5592105263157895,0.31785042693217724
