group_method,deployability,split,n_groups,n_group_model_cells,weighted_utility_variance,weighted_quality_variance,mean_ci_width_utility_95,traffic_weighted_ci_width_utility_95,median_samples_needed_for_0p03,traffic_weighted_samples_needed_for_0p03
utility_cluster_k8_diagnostic,diagnostic_uses_hidden_utility_vectors,test,8,72,0.0860957243129485,0.076997751703634,0.1898788595477139,0.1850762428337913,226.5,367.8150326797386
benchmark_label,diagnostic_label,test,9,81,0.1595803707257825,0.1440671438288378,0.3048211738539473,0.3137374457425951,719.0,681.6228978007762
calibration_aware_routecode_state_k8,learned_probe_state_plus_observable_bits,test,11,99,0.1697088968443057,0.1458458290389699,0.3770761692174554,0.2878658326739072,544.0,724.7787839586028
routecode_state_k8,learned_probe_state,test,6,54,0.1809224190925121,0.1576054094482956,0.2504687701646385,0.2505560611508648,759.0,772.6694695989651
text_cluster_k8,train_fit_text_cluster,test,8,72,0.1835125350414664,0.1627494369437023,0.2277967485554755,0.2822764972510348,570.0,783.7296248382924
random_k8,random_baseline,test,8,72,0.2474819198562799,0.216747427091831,0.4276824570762203,0.4100578623062035,1051.0,1056.8318240620956
utility_cluster_k8_diagnostic,diagnostic_uses_hidden_utility_vectors,train,8,72,0.079519883897937,0.0717728667172436,0.1125328774339977,0.1098237753064018,171.0,339.7845528455285
calibration_aware_routecode_state_k8,learned_probe_state_plus_observable_bits,train,17,145,0.1490021364380178,0.1308250925616018,0.2263945166151503,0.1812293598623908,214.0,636.4639825897715
routecode_state_k8,learned_probe_state,train,8,66,0.1626854799227766,0.1443098052611012,0.1702647911212766,0.1608607076039575,744.0,694.8576713819369
benchmark_label,diagnostic_label,train,9,81,0.1672226974787165,0.1510945223070302,0.1884001175331151,0.1911901526956108,777.0,714.226768226333
text_cluster_k8,train_fit_text_cluster,train,8,71,0.1766745901224968,0.1598555945575178,0.1930734763407844,0.1770697903109673,793.0,754.5810663764962
random_k8,random_baseline,train,8,72,0.2422026039167246,0.2125623874352407,0.2383631621856311,0.2370539208976499,1041.5,1034.3014145810664
utility_cluster_k8_diagnostic,diagnostic_uses_hidden_utility_vectors,val,8,72,0.0998791123724875,0.0893106568130124,0.2482121789115364,0.217594857796283,271.5,426.828216374269
calibration_aware_routecode_state_k8,learned_probe_state_plus_observable_bits,val,13,113,0.1505060955852898,0.1328568867862517,0.3047940291678969,0.2923115446966227,328.0,642.8614976805832
benchmark_label,diagnostic_label,val,9,81,0.1624529312567429,0.1514013561727279,0.3057352289361545,0.3168988299676864,754.0,693.90788601723
routecode_state_k8,learned_probe_state,val,7,61,0.1645652639548548,0.146332447439633,0.2911109585699086,0.2759720206889773,646.0,702.8760768721007
text_cluster_k8,train_fit_text_cluster,val,8,70,0.1765023307734058,0.1613568218028145,0.2724674239153608,0.29437632811741,719.0,753.8336646785951
random_k8,random_baseline,val,8,72,0.2436909651219976,0.2193826299856783,0.4299306519906258,0.4145977967778693,1064.0,1040.7355864811134
